Distirct No (apylinkės nr.),Party No (partijos nr.),Constituency No (apygardos nr.),By post (balsai paštu),Distirct (apylinkė),In distirct (balsai apylinkėje),Party (partija),Constituency (apygarda),Total (balsai iš viso),Valid ballot papers percent (galiojančių biuletenių skaičius)
34,11,67,4,Stakliškių,5,Krikščionių partija,Prienų - Birštono,9,2.41
1,3,71,14,Senamiesčio,97,Darbo partija,Lazdijų - Druskininkų,111,13.12
1,8,71,23,Senamiesčio,269,Lietuvos socialdemokratų partija,Lazdijų - Druskininkų,292,34.52
1,5,71,20,Senamiesčio,136,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lazdijų - Druskininkų,156,18.44
1,1,71,12,Senamiesčio,53,Lietuvos Respublikos liberalų sąjūdis,Lazdijų - Druskininkų,65,7.68
1,6,71,13,Senamiesčio,57,„Drąsos kelias“ politinė partija,Lazdijų - Druskininkų,70,8.27
1,9,71,1,Senamiesčio,38,Partija Tvarka ir teisingumas,Lazdijų - Druskininkų,39,4.61
33,3,71,7,Varnėnų,33,Darbo partija,Lazdijų - Druskininkų,40,25.0
33,8,71,10,Varnėnų,37,Lietuvos socialdemokratų partija,Lazdijų - Druskininkų,47,29.38
33,5,71,7,Varnėnų,19,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lazdijų - Druskininkų,26,16.25
33,1,71,,Varnėnų,6,Lietuvos Respublikos liberalų sąjūdis,Lazdijų - Druskininkų,6,3.75
33,6,71,2,Varnėnų,5,„Drąsos kelias“ politinė partija,Lazdijų - Druskininkų,7,4.38
29,3,71,8,Žagarių,19,Darbo partija,Lazdijų - Druskininkų,27,18.37
29,8,71,10,Žagarių,40,Lietuvos socialdemokratų partija,Lazdijų - Druskininkų,50,34.01
29,5,71,6,Žagarių,18,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lazdijų - Druskininkų,24,16.33
29,1,71,,Žagarių,6,Lietuvos Respublikos liberalų sąjūdis,Lazdijų - Druskininkų,6,4.08
28,3,71,10,Viktarinos,43,Darbo partija,Lazdijų - Druskininkų,53,30.64
28,8,71,12,Viktarinos,28,Lietuvos socialdemokratų partija,Lazdijų - Druskininkų,40,23.12
28,5,71,9,Viktarinos,21,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lazdijų - Druskininkų,30,17.34
28,1,71,,Viktarinos,6,Lietuvos Respublikos liberalų sąjūdis,Lazdijų - Druskininkų,6,3.47
28,6,71,2,Viktarinos,7,„Drąsos kelias“ politinė partija,Lazdijų - Druskininkų,9,5.2
28,9,71,,Viktarinos,4,Partija Tvarka ir teisingumas,Lazdijų - Druskininkų,4,2.31
17,4,1,,Algirdo,4,Demokratinė darbo ir vienybės partija,Naujamiesčio,4,0.25
17,17,1,,Algirdo,1,Emigrantų partija,Naujamiesčio,1,0.06
17,2,1,,Algirdo,3,Respublikonų partija,Naujamiesčio,3,0.19
17,12,1,,Algirdo,2,Lietuvos žmonių partija,Naujamiesčio,2,0.12
16,15,1,,Naugarduko,3,Partija „Jaunoji Lietuva“,Naujamiesčio,3,0.21
16,4,1,,Naugarduko,2,Demokratinė darbo ir vienybės partija,Naujamiesčio,2,0.14
16,17,1,,Naugarduko,7,Emigrantų partija,Naujamiesčio,7,0.5
16,2,1,,Naugarduko,3,Respublikonų partija,Naujamiesčio,3,0.21
16,12,1,,Naugarduko,,Lietuvos žmonių partija,Naujamiesčio,,
34,10,67,1,Stakliškių,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Prienų - Birštono,1,0.27
34,15,67,2,Stakliškių,1,Partija „Jaunoji Lietuva“,Prienų - Birštono,3,0.8
34,4,67,,Stakliškių,,Demokratinė darbo ir vienybės partija,Prienų - Birštono,,
34,17,67,,Stakliškių,2,Emigrantų partija,Prienų - Birštono,2,0.54
34,2,67,,Stakliškių,2,Respublikonų partija,Prienų - Birštono,2,0.54
34,12,67,1,Stakliškių,2,Lietuvos žmonių partija,Prienų - Birštono,3,0.8
1,7,71,1,Senamiesčio,16,Lietuvos lenkų rinkimų akcija,Lazdijų - Druskininkų,17,2.01
1,14,71,3,Senamiesčio,22,Lietuvos valstiečių ir žaliųjų sąjunga,Lazdijų - Druskininkų,25,2.96
1,16,71,5,Senamiesčio,9,Liberalų ir centro sąjunga,Lazdijų - Druskininkų,14,1.65
1,18,71,1,Senamiesčio,10,Politinė partija „Sąjunga Taip“,Lazdijų - Druskininkų,11,1.3
1,13,71,1,Senamiesčio,15,Socialistinis liaudies Frontas,Lazdijų - Druskininkų,16,1.89
1,11,71,1,Senamiesčio,8,Krikščionių partija,Lazdijų - Druskininkų,9,1.06
1,10,71,2,Senamiesčio,5,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Lazdijų - Druskininkų,7,0.83
33,9,71,2,Varnėnų,16,Partija Tvarka ir teisingumas,Lazdijų - Druskininkų,18,11.25
33,7,71,,Varnėnų,,Lietuvos lenkų rinkimų akcija,Lazdijų - Druskininkų,,
33,14,71,1,Varnėnų,4,Lietuvos valstiečių ir žaliųjų sąjunga,Lazdijų - Druskininkų,5,3.12
33,16,71,,Varnėnų,1,Liberalų ir centro sąjunga,Lazdijų - Druskininkų,1,0.62
33,18,71,,Varnėnų,1,Politinė partija „Sąjunga Taip“,Lazdijų - Druskininkų,1,0.62
33,13,71,,Varnėnų,,Socialistinis liaudies Frontas,Lazdijų - Druskininkų,,
33,11,71,2,Varnėnų,5,Krikščionių partija,Lazdijų - Druskininkų,7,4.38
33,10,71,1,Varnėnų,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Lazdijų - Druskininkų,1,0.62
29,6,71,2,Žagarių,5,„Drąsos kelias“ politinė partija,Lazdijų - Druskininkų,7,4.76
29,9,71,3,Žagarių,6,Partija Tvarka ir teisingumas,Lazdijų - Druskininkų,9,6.12
29,7,71,1,Žagarių,,Lietuvos lenkų rinkimų akcija,Lazdijų - Druskininkų,1,0.68
29,14,71,1,Žagarių,18,Lietuvos valstiečių ir žaliųjų sąjunga,Lazdijų - Druskininkų,19,12.93
29,16,71,,Žagarių,1,Liberalų ir centro sąjunga,Lazdijų - Druskininkų,1,0.68
29,18,71,,Žagarių,,Politinė partija „Sąjunga Taip“,Lazdijų - Druskininkų,,
29,13,71,,Žagarių,,Socialistinis liaudies Frontas,Lazdijų - Druskininkų,,
29,11,71,,Žagarių,1,Krikščionių partija,Lazdijų - Druskininkų,1,0.68
28,7,71,,Viktarinos,,Lietuvos lenkų rinkimų akcija,Lazdijų - Druskininkų,,
28,14,71,2,Viktarinos,15,Lietuvos valstiečių ir žaliųjų sąjunga,Lazdijų - Druskininkų,17,9.83
28,16,71,1,Viktarinos,5,Liberalų ir centro sąjunga,Lazdijų - Druskininkų,6,3.47
28,18,71,1,Viktarinos,,Politinė partija „Sąjunga Taip“,Lazdijų - Druskininkų,1,0.58
28,13,71,,Viktarinos,,Socialistinis liaudies Frontas,Lazdijų - Druskininkų,,
28,11,71,2,Viktarinos,1,Krikščionių partija,Lazdijų - Druskininkų,3,1.73
28,10,71,,Viktarinos,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Lazdijų - Druskininkų,,
1,15,71,1,Senamiesčio,4,Partija „Jaunoji Lietuva“,Lazdijų - Druskininkų,5,0.59
1,4,71,,Senamiesčio,3,Demokratinė darbo ir vienybės partija,Lazdijų - Druskininkų,3,0.35
1,17,71,,Senamiesčio,1,Emigrantų partija,Lazdijų - Druskininkų,1,0.12
1,2,71,,Senamiesčio,,Respublikonų partija,Lazdijų - Druskininkų,,
1,12,71,1,Senamiesčio,4,Lietuvos žmonių partija,Lazdijų - Druskininkų,5,0.59
33,15,71,,Varnėnų,,Partija „Jaunoji Lietuva“,Lazdijų - Druskininkų,,
33,4,71,,Varnėnų,1,Demokratinė darbo ir vienybės partija,Lazdijų - Druskininkų,1,0.62
33,17,71,,Varnėnų,,Emigrantų partija,Lazdijų - Druskininkų,,
33,2,71,,Varnėnų,,Respublikonų partija,Lazdijų - Druskininkų,,
33,12,71,,Varnėnų,,Lietuvos žmonių partija,Lazdijų - Druskininkų,,
29,10,71,,Žagarių,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Lazdijų - Druskininkų,1,0.68
29,15,71,,Žagarių,,Partija „Jaunoji Lietuva“,Lazdijų - Druskininkų,,
29,4,71,,Žagarių,,Demokratinė darbo ir vienybės partija,Lazdijų - Druskininkų,,
29,17,71,,Žagarių,,Emigrantų partija,Lazdijų - Druskininkų,,
29,2,71,,Žagarių,,Respublikonų partija,Lazdijų - Druskininkų,,
29,12,71,,Žagarių,1,Lietuvos žmonių partija,Lazdijų - Druskininkų,1,0.68
28,15,71,,Viktarinos,3,Partija „Jaunoji Lietuva“,Lazdijų - Druskininkų,3,1.73
28,4,71,,Viktarinos,1,Demokratinė darbo ir vienybės partija,Lazdijų - Druskininkų,1,0.58
28,17,71,,Viktarinos,,Emigrantų partija,Lazdijų - Druskininkų,,
28,2,71,,Viktarinos,,Respublikonų partija,Lazdijų - Druskininkų,,
28,12,71,,Viktarinos,,Lietuvos žmonių partija,Lazdijų - Druskininkų,,
27,3,71,21,Veisiejų,174,Darbo partija,Lazdijų - Druskininkų,195,19.04
27,8,71,78,Veisiejų,299,Lietuvos socialdemokratų partija,Lazdijų - Druskininkų,377,36.82
27,5,71,50,Veisiejų,138,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lazdijų - Druskininkų,188,18.36
27,1,71,8,Veisiejų,28,Lietuvos Respublikos liberalų sąjūdis,Lazdijų - Druskininkų,36,3.52
27,6,71,10,Veisiejų,47,„Drąsos kelias“ politinė partija,Lazdijų - Druskininkų,57,5.57
27,9,71,6,Veisiejų,24,Partija Tvarka ir teisingumas,Lazdijų - Druskininkų,30,2.93
1,3,64,31,Žiburio,155,Darbo partija,Šakių,186,20.2
1,8,64,46,Žiburio,187,Lietuvos socialdemokratų partija,Šakių,233,25.3
1,5,64,35,Žiburio,139,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Šakių,174,18.89
1,1,64,8,Žiburio,30,Lietuvos Respublikos liberalų sąjūdis,Šakių,38,4.13
1,6,64,23,Žiburio,78,„Drąsos kelias“ politinė partija,Šakių,101,10.97
27,7,71,,Veisiejų,,Lietuvos lenkų rinkimų akcija,Lazdijų - Druskininkų,,
27,14,71,9,Veisiejų,84,Lietuvos valstiečių ir žaliųjų sąjunga,Lazdijų - Druskininkų,93,9.08
27,16,71,1,Veisiejų,4,Liberalų ir centro sąjunga,Lazdijų - Druskininkų,5,0.49
27,18,71,,Veisiejų,7,Politinė partija „Sąjunga Taip“,Lazdijų - Druskininkų,7,0.68
27,13,71,1,Veisiejų,6,Socialistinis liaudies Frontas,Lazdijų - Druskininkų,7,0.68
27,11,71,11,Veisiejų,6,Krikščionių partija,Lazdijų - Druskininkų,17,1.66
27,10,71,,Veisiejų,6,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Lazdijų - Druskininkų,6,0.59
1,9,64,8,Žiburio,38,Partija Tvarka ir teisingumas,Šakių,46,4.99
1,7,64,,Žiburio,,Lietuvos lenkų rinkimų akcija,Šakių,,
1,14,64,15,Žiburio,66,Lietuvos valstiečių ir žaliųjų sąjunga,Šakių,81,8.79
1,16,64,2,Žiburio,11,Liberalų ir centro sąjunga,Šakių,13,1.41
1,18,64,,Žiburio,11,Politinė partija „Sąjunga Taip“,Šakių,11,1.19
1,13,64,1,Žiburio,3,Socialistinis liaudies Frontas,Šakių,4,0.43
1,11,64,2,Žiburio,6,Krikščionių partija,Šakių,8,0.87
1,10,64,,Žiburio,3,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Šakių,3,0.33
1,3,66,2,Mastaičių,117,Darbo partija,Kauno kaimiškoji,119,16.02
1,8,66,3,Mastaičių,97,Lietuvos socialdemokratų partija,Kauno kaimiškoji,100,13.46
1,5,66,1,Mastaičių,169,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kauno kaimiškoji,170,22.88
1,1,66,3,Mastaičių,65,Lietuvos Respublikos liberalų sąjūdis,Kauno kaimiškoji,68,9.15
1,6,66,1,Mastaičių,165,„Drąsos kelias“ politinė partija,Kauno kaimiškoji,166,22.34
43,3,64,7,Slabadų,24,Darbo partija,Šakių,31,21.68
43,8,64,12,Slabadų,60,Lietuvos socialdemokratų partija,Šakių,72,50.35
43,5,64,6,Slabadų,4,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Šakių,10,6.99
43,1,64,,Slabadų,3,Lietuvos Respublikos liberalų sąjūdis,Šakių,3,2.1
43,6,64,,Slabadų,10,„Drąsos kelias“ politinė partija,Šakių,10,6.99
27,15,71,,Veisiejų,1,Partija „Jaunoji Lietuva“,Lazdijų - Druskininkų,1,0.1
27,4,71,1,Veisiejų,,Demokratinė darbo ir vienybės partija,Lazdijų - Druskininkų,1,0.1
27,17,71,,Veisiejų,1,Emigrantų partija,Lazdijų - Druskininkų,1,0.1
27,2,71,,Veisiejų,2,Respublikonų partija,Lazdijų - Druskininkų,2,0.2
27,12,71,,Veisiejų,1,Lietuvos žmonių partija,Lazdijų - Druskininkų,1,0.1
1,15,64,3,Žiburio,7,Partija „Jaunoji Lietuva“,Šakių,10,1.09
1,4,64,2,Žiburio,6,Demokratinė darbo ir vienybės partija,Šakių,8,0.87
1,17,64,1,Žiburio,2,Emigrantų partija,Šakių,3,0.33
1,2,64,1,Žiburio,,Respublikonų partija,Šakių,1,0.11
1,12,64,,Žiburio,1,Lietuvos žmonių partija,Šakių,1,0.11
1,9,66,2,Mastaičių,29,Partija Tvarka ir teisingumas,Kauno kaimiškoji,31,4.17
1,7,66,,Mastaičių,2,Lietuvos lenkų rinkimų akcija,Kauno kaimiškoji,2,0.27
1,14,66,1,Mastaičių,14,Lietuvos valstiečių ir žaliųjų sąjunga,Kauno kaimiškoji,15,2.02
1,16,66,,Mastaičių,27,Liberalų ir centro sąjunga,Kauno kaimiškoji,27,3.63
1,18,66,1,Mastaičių,16,Politinė partija „Sąjunga Taip“,Kauno kaimiškoji,17,2.29
1,13,66,,Mastaičių,3,Socialistinis liaudies Frontas,Kauno kaimiškoji,3,0.4
1,11,66,,Mastaičių,12,Krikščionių partija,Kauno kaimiškoji,12,1.62
43,9,64,3,Slabadų,3,Partija Tvarka ir teisingumas,Šakių,6,4.2
43,7,64,,Slabadų,,Lietuvos lenkų rinkimų akcija,Šakių,,
43,14,64,2,Slabadų,4,Lietuvos valstiečių ir žaliųjų sąjunga,Šakių,6,4.2
43,16,64,,Slabadų,2,Liberalų ir centro sąjunga,Šakių,2,1.4
43,18,64,,Slabadų,,Politinė partija „Sąjunga Taip“,Šakių,,
43,13,64,,Slabadų,,Socialistinis liaudies Frontas,Šakių,,
43,11,64,,Slabadų,,Krikščionių partija,Šakių,,
43,10,64,,Slabadų,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Šakių,,
53,3,66,6,S. Lozoraičio,194,Darbo partija,Kauno kaimiškoji,200,19.72
